Speaker,Detail,WordsLen,UniqueWords,JLPTLevel,Sentiment-tabularisai,Sentiment-tabularisai-score,Sentiment-lxyuan,Sentiment-lxyuan-score,Sentiment-Christian,Sentiment-Christian-score
AI,こんにちは！ありがとうございます。どのような話題で会話を始めますか？趣味や興味があること、最近のニュース、または何か特別な出来事など、何でもいいですよ。,76,36.0,2,Very Negative,0.4452899396419525,positive,0.7000479102134705,positive,0.9988616704940796
User,昨日麻雀したんよね,9,7.0,1,Very Negative,0.5439276099205017,positive,0.5024965405464172,positive,0.9582627415657043
AI,麻雀ですか！面白そうですね。どんな雀荘でプレイされたんですか？特に興味深かった局や、面白いエピソードはありましたか？,58,28.0,2,Positive,0.4658139646053314,positive,0.4693613350391388,positive,0.9992803931236267
User,友達の家でやった 大勝できて楽しかった,19,10.0,2,Positive,0.5917750597000122,positive,0.79640132188797,positive,0.9981287121772766
AI,友達の家で麻雀を楽しめて大勝できたのは素晴らしいですね！雰囲気はどうでしたか？リラックスした雰囲気でプレイできたり、緊張感があったりしましたか？そして、大勝の秘訣は何だったんでしょうか？,93,37.0,2,Neutral,0.2879694700241089,positive,0.6487833261489868,positive,0.9995014667510986
User,運が良かったね,7,5.0,2,Positive,0.5549207925796509,positive,0.6133117079734802,positive,0.9988740086555481
AI,運が良かったんですね！確かに麻雀には運も大きな要素ですね。その日は特に運が味方してくれたみたいですね。勝つことができたときの気持ちは最高ですね！次回も同じように運が良いといいですね。友達との楽しい時間を過ごせたようで何よりです,113,45.0,2,Positive,0.532197117805481,positive,0.8581926822662354,positive,0.9995136260986328
User,昨日遊んだけん今日やらない感作業いっぱい残っとるんよね,27,14.0,3,Negative,0.4349768757820129,negative,0.5135573744773865,neutral,0.99480801820755
AI,そうですね、昨日は楽しい時間を過ごした後は、また日常の作業に戻る必要がありますね。やるべき作業がたくさんあると、麻雀をやる時間がなかなか取れないですね。でも、少しずつ進めていけばきっと大丈夫ですよ。麻雀はまた次の機会に楽しめますから、今日は作業に集中して進めてみてはいかがでしょうか？,142,55.0,2,Positive,0.371052622795105,positive,0.3704842031002044,positive,0.9762884378433228
User,そやね,3,3.0,2,Positive,0.4111868441104889,positive,0.530474841594696,positive,0.9992308616638184
AI,そうですね、一つ一つ頑張っていきましょう！作業が終わったら、また麻雀を楽しむことができますね。頑張ってください！何か手伝うことがあればお知らせくださいね。,77,32.0,2,Very Positive,0.4988677501678467,positive,0.6425181031227112,positive,0.9983592629432678
AI Average,Mean Unique Words,17,38.833333333333336,3,Neutral,0.4241121411323547,positive,0.5115834474563599,positive,0.9940897226333618
User Average,Mean Unique Words,17,7.8,3,Neutral,0.4241121411323547,positive,0.5115834474563599,positive,0.9940897226333618
